file_path,IMBS,KDE,lb,LBP_MRF,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\GMG.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\MixtureOfGaussianV1.h,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,5.00,TwoPoints,90.00
bgslibrary\algorithms\MixtureOfGaussianV1.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\MultiCue.h,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,10.00
bgslibrary\algorithms\LBFuzzyAdaptiveSOM.h,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,85.00
bgslibrary\algorithms\LBAdaptiveSOM.h,0.00,0.00,15.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,75.00,0.00,0.00,0.00,TwoPoints,75.00
bgslibrary\algorithms\LOBSTER.h,0.00,0.00,0.00,0.00,10.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,90.00
bgslibrary\algorithms\MixtureOfGaussianV2.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\LOBSTER.cpp,0.00,0.00,0.00,0.00,90.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,90.00
bgslibrary\algorithms\PAWCS.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\MultiLayer.h,0.00,0.00,0.00,5.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\LBSimpleGaussian.h,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,85.00
bgslibrary\algorithms\MultiLayer.cpp,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,MultiLayer,99.00
bgslibrary\algorithms\LBFuzzyGaussian.h,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,90.00
bgslibrary\algorithms\PixelBasedAdaptiveSegmenter.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,1.00,PBAS,99.00
bgslibrary\algorithms\SigmaDelta.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,1.00,SigmaDelta,99.00
bgslibrary\algorithms\MultiCue.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\PixelBasedAdaptiveSegmenter.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,PBAS,100.00
bgslibrary\algorithms\SigmaDelta.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,100.00
bgslibrary\algorithms\SuBSENSE.cpp,0.00,0.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,30.00
bgslibrary\algorithms\StaticFrameDifference.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\T2FMRF_UM.cpp,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\T2FGMM_UV.cpp,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,T2F,99.00
bgslibrary\algorithms\T2FGMM_UM.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,T2F,99.00
bgslibrary\algorithms\StaticFrameDifference.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\T2FGMM_UM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,T2F,99.00
bgslibrary\algorithms\T2FGMM_UV.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,3.00,0.00,0.00,2.00,T2F,95.00
bgslibrary\algorithms\T2FMRF_UV.cpp,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\T2FMRF_UM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,T2F,99.00
bgslibrary\algorithms\ViBe.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\VuMeter.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\TwoPoints.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\T2FMRF_UV.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,T2F,99.00
bgslibrary\algorithms\SuBSENSE.h,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,90.00
bgslibrary\algorithms\TwoPoints.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\PAWCS.h,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,85.00
bgslibrary\algorithms\ViBe.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\VuMeter.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\WeightedMovingMean.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,5.00,TwoPoints,95.00
bgslibrary\algorithms\WeightedMovingMean.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,TwoPoints,95.00
bgslibrary\algorithms\WeightedMovingVariance.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,2.00,TwoPoints,98.00
bgslibrary\algorithms\WeightedMovingVariance.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
bgslibrary\algorithms\MixtureOfGaussianV2.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\tools\PerformanceUtils.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,general,99.00
bgslibrary\tools\PerformanceUtils.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,general,100.00
bgslibrary\tools\PixelUtils.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\tools\ForegroundMaskAnalysis.cpp,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,general,99.00
bgslibrary\tools\ForegroundMaskAnalysis.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,general,100.00
bgslibrary\tools\PixelUtils.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,98.00,general,98.00
bgslibrary\tools\FuzzyUtils.cpp,5.00,5.00,30.00,15.00,10.00,5.00,5.00,5.00,5.00,20.00,5.00,5.00,5.00,90.00,general,90.00
bgslibrary\tools\FuzzyUtils.h,5.00,0.00,60.00,15.00,10.00,0.00,5.00,5.00,0.00,20.00,0.00,0.00,0.00,80.00,general,80.00
bgslibrary\utils\GenericKeys.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\utils\ILoadSaveConfig.h,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\utils\GenericMacros.h,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,general,99.00
bgslibrary\FrameProcessor.h,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.00,main,90.00
bgslibrary\VideoAnalysis.cpp,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
bgslibrary\PreProcessor.cpp,1.00,1.00,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,95.00,general,95.00
bgslibrary\VideoCapture.cpp,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
bgslibrary\IFrameProcessor.h,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
bgslibrary\PreProcessor.h,1.00,1.00,1.00,1.00,1.00,10.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,88.00,general,88.00
bgslibrary\Main.cpp,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,main,99.00
bgslibrary\VideoAnalysis.h,0.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,main,98.00
bgslibrary\VideoCapture.h,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
bgslibrary\FrameProcessor.cpp,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,5.00,main,95.00
