file_path,DistributedCameraSourceMgr,DistributedCameraSinkMgr,ChannelCommon,ChannelSink,CameraDataProcessCommon,CameraDataPreProcess,CameraDataPostProcess,CameraServiceCommon,VirtualCameraHdf,utils,best_module,best_likelihood
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerainterface\icamera_state_listener.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,CameraServiceCommon,90.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerainterface\icamera_source_data_process.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_init_state.h,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,98.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_state_factory.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_regist_state.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_opened_state.h,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,98.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_state_machine.h,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,98.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_capture_state.h,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,98.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_state.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamerastate\dcamera_source_config_stream_state.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamera_source_service_ipc.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamera_source_dev.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\include\distributedcameramgr\dcamera_source_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\cameraservice\sourceservice\src\distributedcamera\distributed_camera_source_service.cpp,98.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,98.00
services\cameraservice\sourceservice\src\distributedcamera\dcamera_service_state_listener.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\src\distributedcamera\distributed_camera_source_stub.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\cameraservice\sourceservice\src\distributedcamera\dcamera_source_callback_proxy.cpp,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSourceMgr,95.00
services\channel\include\dcamera_softbus_session.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,95.00
services\channel\include\icamera_channel.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,95.00
services\channel\include\icamera_channel_listener.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,95.00
services\channel\include\dcamera_channel_source_impl.h,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,90.00
services\channel\include\dcamera_softbus_adapter.h,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,95.00
services\channel\include\dcamera_channel_sink_impl.h,0.00,1.00,3.00,95.00,0.00,0.00,0.00,0.00,0.00,1.00,ChannelSink,95.00
services\channel\src\dcamera_softbus_adapter.cpp,0.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,98.00
services\channel\src\dcamera_channel_sink_impl.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelSink,95.00
services\channel\src\dcamera_softbus_session.cpp,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,95.00
services\channel\src\dcamera_channel_source_impl.cpp,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,ChannelCommon,90.00
services\data_process\include\eventbus\dcamera_pipeline_event.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,5.00,CameraServiceCommon,95.00
services\data_process\include\eventbus\dcamera_codec_event.h,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,85.00
services\data_process\include\interfaces\data_process_listener.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\include\interfaces\idata_process_pipeline.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\include\pipeline\abstract_data_process.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\include\pipeline\dcamera_pipeline_sink.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\include\pipeline\dcamera_pipeline_source.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
services\data_process\include\pipeline_node\colorspace_conversion\convert_nv12_to_nv21.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\include\pipeline_node\fpscontroller\fps_controller_process.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\include\pipeline_node\multimedia_codec\decode_video_callback.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\data_process\include\pipeline_node\multimedia_codec\decode_data_process.h,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\data_process\include\pipeline_node\multimedia_codec\encode_video_callback.h,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,95.00
services\data_process\include\pipeline_node\multimedia_codec\encode_data_process.h,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,85.00
services\data_process\include\utils\image_common_type.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\src\pipeline\dcamera_pipeline_source.cpp,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\data_process\src\pipeline\abstract_data_process.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\src\pipeline\dcamera_pipeline_sink.cpp,0.00,40.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,CameraDataPreProcess,95.00
services\data_process\src\pipeline_node\colorspace_conversion\convert_nv12_to_nv21.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\src\pipeline_node\fpscontroller\fps_controller_process.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\src\pipeline_node\multimedia_codec\decode_data_process.cpp,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\data_process\src\pipeline_node\multimedia_codec\decode_data_process_common.cpp,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,CameraDataPostProcess,95.00
services\data_process\src\pipeline_node\multimedia_codec\encode_data_process.cpp,0.00,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\src\pipeline_node\multimedia_codec\encode_video_callback.cpp,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DistributedCameraSinkMgr,90.00
services\data_process\src\pipeline_node\multimedia_codec\decode_video_callback.cpp,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,CameraDataPostProcess,90.00
services\data_process\src\pipeline_node\multimedia_codec\encode_data_process_common.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
services\data_process\src\utils\image_common_type.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,CameraDataProcessCommon,95.00
