file_path,dns,pools,ssl,general,http_general,services,httpserver,transport,best_module,best_likelihood
proxygen\lib\http\observer\HTTPSessionObserverInterface.h,0.00,0.00,0.00,5.00,95.00,3.00,0.00,0.00,http_general,95.00
proxygen\lib\http\observer\HTTPSessionObserverContainer.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\http\observer\HTTPSessionObserverInterface.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\AckLatencyEvent.h,0.00,0.00,0.00,70.00,5.00,5.00,0.00,20.00,general,70.00
proxygen\lib\http\session\CodecErrorResponseHandler.h,0.00,0.00,0.00,0.00,95.00,4.00,1.00,0.00,http_general,95.00
proxygen\lib\http\session\HQByteEventTracker.cpp,0.00,0.00,0.00,5.00,20.00,0.00,0.00,75.00,transport,75.00
proxygen\lib\http\session\ByteEventTracker.h,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\session\ByteEvents.h,0.00,0.00,0.00,5.00,90.00,3.00,0.00,2.00,http_general,90.00
proxygen\lib\http\session\ByteEvents.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\session\CodecErrorResponseHandler.cpp,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\session\ByteEventTracker.cpp,0.00,0.00,0.00,0.00,95.00,3.00,1.00,1.00,http_general,95.00
proxygen\lib\http\session\HQByteEventTracker.h,0.00,0.00,0.00,5.00,10.00,0.00,0.00,85.00,transport,85.00
proxygen\lib\http\session\HQSession.cpp,0.00,0.00,0.00,5.00,85.00,3.00,0.00,7.00,http_general,85.00
proxygen\lib\http\session\HQDownstreamSession.h,0.00,0.00,5.00,0.00,85.00,5.00,0.00,5.00,http_general,85.00
proxygen\lib\http\session\HQDownstreamSession.cpp,0.00,0.00,5.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\session\HQStreamBase.h,0.00,0.00,0.00,5.00,80.00,3.00,2.00,10.00,http_general,80.00
proxygen\lib\http\session\HQSession.h,0.00,0.00,0.00,5.00,80.00,5.00,0.00,10.00,http_general,80.00
proxygen\lib\http\session\HQStreamBase.cpp,0.00,0.00,0.00,5.00,80.00,3.00,0.00,12.00,http_general,80.00
proxygen\lib\http\session\HTTP2PriorityQueue.cpp,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\session\HQStreamDispatcher.h,0.00,0.00,0.00,5.00,30.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\http\session\HTTP2PriorityQueue.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\HQUpstreamSession.h,0.00,0.00,5.00,5.00,80.00,10.00,0.00,20.00,http_general,80.00
proxygen\lib\http\session\HTTPDirectResponseHandler.cpp,0.00,0.00,0.00,2.00,95.00,2.00,1.00,0.00,http_general,95.00
proxygen\lib\http\session\HQStreamDispatcher.cpp,0.00,0.00,0.00,0.00,80.00,5.00,0.00,15.00,http_general,80.00
proxygen\lib\http\session\HTTPDefaultSessionCodecFactory.cpp,0.00,0.00,0.00,0.00,95.00,4.00,1.00,0.00,http_general,95.00
proxygen\lib\http\session\HTTPDefaultSessionCodecFactory.h,0.00,0.00,0.00,5.00,90.00,5.00,0.00,0.00,http_general,90.00
proxygen\lib\http\session\HQUpstreamSession.cpp,0.00,0.00,5.00,0.00,85.00,0.00,0.00,10.00,http_general,85.00
proxygen\lib\http\session\HTTPDownstreamSession.cpp,0.00,0.00,0.00,0.00,95.00,4.00,1.00,0.00,http_general,95.00
proxygen\lib\http\session\HTTPEvent.cpp,0.00,0.00,0.00,0.00,95.00,3.00,0.00,2.00,http_general,95.00
proxygen\lib\http\session\HTTPDirectResponseHandler.h,0.00,0.00,0.00,5.00,90.00,3.00,2.00,0.00,http_general,90.00
proxygen\lib\http\session\HTTPErrorPage.cpp,0.00,0.00,0.00,5.00,90.00,3.00,2.00,0.00,http_general,90.00
proxygen\lib\http\session\HTTPDownstreamSession.h,0.00,0.00,5.00,0.00,95.00,3.00,2.00,0.00,http_general,95.00
proxygen\lib\http\session\HTTPErrorPage.h,0.00,0.00,0.00,5.00,90.00,3.00,2.00,0.00,http_general,90.00
proxygen\lib\http\session\HTTPEvent.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\http\session\HTTPSessionBase.h,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\HTTPSessionAcceptor.cpp,0.00,0.00,0.00,5.00,80.00,10.00,0.00,5.00,http_general,80.00
proxygen\lib\http\session\HTTPSessionActivityTracker.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\http\session\HTTPSession.h,0.00,0.00,0.00,1.00,98.00,1.00,0.00,0.00,http_general,98.00
proxygen\lib\http\session\HTTPSession.cpp,0.00,0.00,5.00,0.00,95.00,3.00,0.00,2.00,http_general,95.00
proxygen\lib\http\session\HTTPSessionActivityTracker.h,0.00,0.00,0.00,5.00,85.00,8.00,1.00,1.00,http_general,85.00
proxygen\lib\http\session\HTTPSessionAcceptor.h,0.00,0.00,5.00,0.00,20.00,70.00,5.00,0.00,services,70.00
proxygen\lib\http\session\HTTPSessionBase.cpp,0.00,0.00,0.00,5.00,95.00,3.00,0.00,2.00,http_general,95.00
proxygen\lib\http\session\HTTPSessionStats.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\session\HTTPTransaction.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\HTTPTransactionEgressSM.cpp,0.00,0.00,0.00,1.00,98.00,1.00,0.00,0.00,http_general,98.00
proxygen\lib\http\session\HTTPSessionController.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\session\HTTPTransactionEgressSM.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\session\HTTPTransaction.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\HTTPTransactionIngressSM.h,0.00,0.00,0.00,5.00,90.00,2.00,1.00,2.00,http_general,90.00
proxygen\lib\http\session\QuicProtocolInfo.h,0.00,0.00,0.00,5.00,10.00,5.00,0.00,100.00,transport,100.00
proxygen\lib\http\session\HTTPTransactionIngressSM.cpp,0.00,0.00,0.00,0.00,98.00,1.00,0.00,1.00,http_general,98.00
proxygen\lib\http\session\HTTPUpstreamSession.cpp,0.00,0.00,5.00,5.00,90.00,0.00,0.00,0.00,http_general,90.00
proxygen\lib\http\session\ServerPushLifecycle.h,0.00,0.00,0.00,5.00,90.00,5.00,0.00,5.00,http_general,90.00
proxygen\lib\http\session\HTTPUpstreamSession.h,0.00,0.00,5.00,0.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\SimpleController.cpp,0.00,0.00,0.00,5.00,90.00,3.00,1.00,0.00,http_general,90.00
proxygen\lib\http\session\SimpleController.h,0.00,0.00,0.00,5.00,80.00,10.00,3.00,2.00,http_general,80.00
proxygen\lib\http\session\TransactionByteEvents.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\session\TTLBAStats.h,0.00,0.00,5.00,5.00,5.00,0.00,0.00,90.00,transport,90.00
proxygen\lib\http\sink\HTTPTransactionSink.cpp,0.00,0.00,5.00,5.00,70.00,3.00,0.00,17.00,http_general,70.00
proxygen\lib\http\sink\HTTPSink.h,0.00,0.00,5.00,5.00,80.00,5.00,0.00,5.00,http_general,80.00
proxygen\lib\http\sink\HTTPTransactionSink.h,0.00,0.00,0.00,5.00,95.00,2.00,0.00,3.00,http_general,95.00
proxygen\lib\http\stats\ResponseCodeStatsMinute.h,0.00,0.00,0.00,10.00,80.00,5.00,3.00,2.00,http_general,80.00
proxygen\lib\http\stats\ConnectionStats.h,0.00,0.00,0.00,5.00,85.00,8.00,1.00,1.00,http_general,85.00
proxygen\lib\http\stats\ThreadLocalHTTPSessionStats.cpp,0.00,0.00,0.00,5.00,95.00,3.00,1.00,1.00,http_general,95.00
proxygen\lib\http\stats\HTTPCodecStats.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\stats\HeaderCodecStats.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\stats\ResponseCodeStatsMinute.cpp,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\stats\HTTPCodecStats.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\stats\ThreadLocalHTTPSessionStats.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\stats\HTTPCodecStatsFilter.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\stats\HeaderCodecStats.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\stats\ConnectionStats.cpp,0.00,0.00,0.00,5.00,90.00,4.00,1.00,0.00,http_general,90.00
proxygen\lib\http\stats\HTTPCodecStatsFilter.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\stats\TLResponseCodeStats.h,0.00,0.00,0.00,5.00,90.00,3.00,2.00,0.00,http_general,90.00
proxygen\lib\http\stats\TLResponseCodeStats.cpp,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\structuredheaders\StructuredHeadersUtilities.h,0.00,0.00,0.00,5.00,90.00,0.00,0.00,0.00,http_general,90.00
proxygen\lib\http\structuredheaders\StructuredHeadersUtilities.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\structuredheaders\StructuredHeadersDecoder.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\structuredheaders\StructuredHeadersDecoder.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\http\structuredheaders\StructuredHeadersConstants.h,0.00,0.00,0.00,5.00,90.00,0.00,3.00,2.00,http_general,90.00
proxygen\lib\http\structuredheaders\StructuredHeadersEncoder.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\structuredheaders\StructuredHeadersBuffer.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\structuredheaders\StructuredHeadersBuffer.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\structuredheaders\StructuredHeadersEncoder.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,http_general,100.00
proxygen\lib\http\HTTP3ErrorCode.cpp,0.00,0.00,0.00,5.00,70.00,0.00,0.00,25.00,http_general,70.00
proxygen\lib\http\HTTPConnector.cpp,0.00,0.00,5.00,0.00,90.00,3.00,0.00,2.00,http_general,90.00
proxygen\lib\http\HTTPConnectorWithFizz.h,0.00,0.00,80.00,5.00,70.00,0.00,0.00,0.00,ssl,80.00
proxygen\lib\http\HTTPConstants.cpp,0.00,0.00,0.00,5.00,95.00,3.00,1.00,1.00,http_general,95.00
proxygen\lib\http\HTTP3ErrorCode.h,0.00,0.00,0.00,5.00,80.00,2.00,1.00,12.00,http_general,80.00
proxygen\lib\http\HTTPConnectorWithFizz.cpp,0.00,0.00,10.00,5.00,80.00,0.00,0.00,5.00,http_general,80.00
proxygen\lib\http\HQConnector.h,0.00,0.00,10.00,5.00,20.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\http\HeaderConstants.h,0.00,0.00,0.00,5.00,90.00,2.00,2.00,1.00,http_general,90.00
proxygen\lib\http\HQConnector.cpp,0.00,0.00,10.00,5.00,30.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\http\HTTPConnector.h,0.00,0.00,5.00,5.00,90.00,10.00,0.00,0.00,http_general,90.00
proxygen\lib\http\HTTPConstants.h,0.00,0.00,0.00,10.00,75.00,10.00,3.00,2.00,http_general,75.00
proxygen\lib\http\HeaderConstants.cpp,0.00,0.00,0.00,0.00,99.00,1.00,0.00,0.00,http_general,99.00
proxygen\lib\http\HTTPHeaders.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,http_general,99.00
proxygen\lib\http\HTTPMessage.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\HTTPException.cpp,0.00,0.00,0.00,5.00,90.00,0.00,0.00,5.00,http_general,90.00
proxygen\lib\http\HTTPHeaders.h,0.00,0.00,0.00,5.00,98.00,1.00,1.00,0.00,http_general,98.00
proxygen\lib\http\HTTPMethod.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\HTTPHeaderSize.h,0.00,0.00,0.00,5.00,90.00,3.00,1.00,1.00,http_general,90.00
proxygen\lib\http\HTTPMethod.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\HTTPException.h,0.00,0.00,0.00,5.00,90.00,2.00,0.00,3.00,http_general,90.00
proxygen\lib\http\HTTPMessageFilters.cpp,0.00,0.00,0.00,2.00,98.00,0.00,0.00,0.00,http_general,98.00
proxygen\lib\http\HTTPPriorityFunctions.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,10.00,http_general,95.00
proxygen\lib\http\HTTPMessageFilters.h,0.00,0.00,0.00,5.00,95.00,3.00,0.00,2.00,http_general,95.00
proxygen\lib\http\HTTPPriorityFunctions.h,0.00,0.00,0.00,5.00,90.00,2.00,1.00,2.00,http_general,90.00
proxygen\lib\http\HTTPMessage.cpp,0.00,0.00,0.00,0.00,99.00,0.00,0.00,1.00,http_general,99.00
proxygen\lib\http\ProxygenErrorEnum.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\ProxygenErrorEnum.h,5.00,0.00,3.00,90.00,30.00,10.00,5.00,5.00,general,90.00
proxygen\lib\http\StatusTypeEnum.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\RFC2616.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\SynchronizedLruQuicPskCache.cpp,0.00,0.00,5.00,5.00,20.00,0.00,0.00,70.00,transport,70.00
proxygen\lib\http\ProxyStatus.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\http\RFC2616.cpp,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\ProxyStatus.h,0.00,0.00,0.00,5.00,95.00,0.00,0.00,0.00,http_general,95.00
proxygen\lib\http\StatusTypeEnum.h,5.00,3.00,5.00,85.00,15.00,2.00,1.00,2.00,general,85.00
proxygen\lib\http\SynchronizedLruQuicPskCache.h,0.00,0.00,5.00,0.00,0.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\http\Window.h,0.00,0.00,0.00,85.00,10.00,0.00,0.00,5.00,general,85.00
proxygen\lib\http\Window.cpp,0.00,0.00,0.00,5.00,98.00,1.00,0.00,1.00,http_general,98.00
proxygen\lib\pools\generators\FileServerListGenerator.cpp,0.00,98.00,0.00,1.00,0.00,1.00,0.00,0.00,pools,98.00
proxygen\lib\pools\generators\MemberGroupConfig.h,0.00,98.00,0.00,2.00,0.00,0.00,0.00,0.00,pools,98.00
proxygen\lib\pools\generators\ServerListGenerator.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\pools\generators\ServerListGenerator.cpp,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,pools,99.00
proxygen\lib\pools\generators\FileServerListGenerator.h,0.00,99.00,0.00,1.00,0.00,0.00,0.00,0.00,pools,99.00
proxygen\lib\sampling\Sampled.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\sampling\Sampling.h,0.00,0.00,0.00,95.00,3.00,1.00,0.00,1.00,general,95.00
proxygen\lib\sampling\Sampling.cpp,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,general,95.00
proxygen\lib\sampling\SamplingFunctions.h,0.00,0.00,0.00,10.00,10.00,5.00,0.00,75.00,transport,75.00
proxygen\lib\sampling\MultiSampled.h,0.00,0.00,0.00,90.00,5.00,3.00,1.00,1.00,general,90.00
proxygen\lib\services\HTTPAcceptor.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\services\RequestWorkerThread.h,0.00,0.00,0.00,5.00,5.00,90.00,0.00,0.00,services,90.00
proxygen\lib\services\WorkerThread.h,0.00,0.00,0.00,10.00,0.00,85.00,5.00,0.00,services,85.00
proxygen\lib\services\Service.cpp,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,services,100.00
proxygen\lib\services\ServiceConfiguration.h,0.00,0.00,0.00,5.00,0.00,95.00,10.00,0.00,services,95.00
proxygen\lib\services\RequestWorkerThreadNoExecutor.cpp,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,services,100.00
proxygen\lib\services\WorkerThread.cpp,0.00,0.00,0.00,0.00,0.00,99.00,1.00,0.00,services,99.00
proxygen\lib\services\Service.h,0.00,0.00,0.00,5.00,10.00,80.00,5.00,0.00,services,80.00
proxygen\lib\services\AcceptorConfiguration.h,0.00,0.00,0.00,5.00,10.00,70.00,10.00,5.00,services,70.00
proxygen\lib\services\ServiceWorker.h,0.00,0.00,0.00,5.00,0.00,90.00,4.00,1.00,services,90.00
proxygen\lib\services\RequestWorkerThread.cpp,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,services,100.00
proxygen\lib\services\RequestWorkerThreadNoExecutor.h,0.00,0.00,0.00,5.00,5.00,95.00,0.00,0.00,services,95.00
proxygen\lib\ssl\ThreadLocalSSLStats.cpp,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,ssl,100.00
proxygen\lib\ssl\ProxygenSSL.h,0.00,0.00,95.00,4.00,1.00,0.00,0.00,0.00,ssl,95.00
proxygen\lib\ssl\ThreadLocalSSLStats.h,0.00,0.00,99.00,1.00,0.00,0.00,0.00,0.00,ssl,99.00
proxygen\lib\stats\PeriodicStatsDataBase.h,0.00,0.00,0.00,90.00,5.00,3.00,1.00,1.00,general,90.00
proxygen\lib\stats\ResourceStats.h,0.00,0.00,0.00,90.00,5.00,3.00,0.00,2.00,general,90.00
proxygen\lib\stats\ResourceStats.cpp,0.00,0.00,0.00,90.00,0.00,5.00,0.00,5.00,general,90.00
proxygen\lib\stats\PeriodicStats.h,0.00,0.00,0.00,95.00,3.00,2.00,0.00,0.00,general,95.00
proxygen\lib\stats\BaseStats.h,0.00,0.00,0.00,90.00,8.00,1.00,1.00,0.00,general,90.00
proxygen\lib\stats\ResourceData.h,0.00,0.00,0.00,85.00,5.00,8.00,1.00,1.00,general,85.00
proxygen\lib\stats\BaseStats.cpp,0.00,0.00,0.00,90.00,0.00,5.00,0.00,0.00,general,90.00
proxygen\lib\transport\AsyncUDPSocketFactory.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,transport,100.00
proxygen\lib\transport\PersistentFizzPskCache.h,0.00,0.00,90.00,5.00,0.00,0.00,0.00,5.00,ssl,90.00
proxygen\lib\transport\H3DatagramAsyncSocket.cpp,0.00,0.00,5.00,0.00,10.00,0.00,5.00,80.00,transport,80.00
proxygen\lib\transport\PersistentQuicTokenCache.cpp,0.00,0.00,0.00,0.00,5.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\transport\PersistentFizzPskCache.cpp,0.00,0.00,5.00,0.00,0.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\transport\H3DatagramAsyncSocket.h,0.00,0.00,5.00,5.00,20.00,0.00,0.00,70.00,transport,70.00
proxygen\lib\transport\PersistentQuicTokenCache.h,0.00,0.00,5.00,0.00,10.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\transport\AsyncUDPSocketFactory.h,0.00,0.00,0.00,5.00,5.00,10.00,0.00,80.00,transport,80.00
proxygen\lib\transport\PersistentQuicPskCache.h,0.00,0.00,5.00,5.00,5.00,0.00,0.00,95.00,transport,95.00
proxygen\lib\transport\PersistentQuicPskCache.cpp,0.00,0.00,5.00,5.00,0.00,0.00,0.00,90.00,transport,90.00
proxygen\lib\utils\Exception.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\Export.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\CryptUtil.h,0.00,0.00,0.00,95.00,4.00,1.00,0.00,0.00,general,95.00
proxygen\lib\utils\AsyncTimeoutSet.h,0.00,0.00,0.00,95.00,0.00,3.00,0.00,2.00,general,95.00
proxygen\lib\utils\ConsistentHash.h,0.00,90.00,0.00,8.00,0.00,2.00,0.00,0.00,pools,90.00
proxygen\lib\utils\CobHelper.h,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,general,98.00
proxygen\lib\utils\ConditionalGate.h,0.00,0.00,0.00,95.00,3.00,1.00,0.00,1.00,general,95.00
proxygen\lib\utils\AsyncTimeoutSet.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\CompressionFilterUtils.h,0.00,0.00,0.00,10.00,85.00,0.00,5.00,0.00,http_general,85.00
proxygen\lib\utils\AcceptorAddress.h,0.00,0.00,0.00,10.00,5.00,60.00,15.00,10.00,services,60.00
proxygen\lib\utils\CryptUtil.cpp,0.00,0.00,5.00,98.00,0.00,0.00,0.00,0.00,general,98.00
proxygen\lib\utils\Exception.h,0.00,0.00,0.00,10.00,95.00,5.00,2.00,0.00,http_general,95.00
proxygen\lib\utils\FilterChain.h,0.00,0.00,0.00,95.00,3.00,1.00,0.00,1.00,general,95.00
proxygen\lib\utils\HTTPTime.cpp,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\Logging.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\Logging.h,0.00,0.00,0.00,95.00,3.00,1.00,1.00,0.00,general,95.00
proxygen\lib\utils\HTTPTime.h,0.00,0.00,0.00,10.00,85.00,3.00,1.00,1.00,http_general,85.00
proxygen\lib\utils\ParseURL.cpp,0.00,0.00,0.00,95.00,4.00,0.00,0.00,1.00,general,95.00
proxygen\lib\utils\perfect_hash_table_template.h,0.00,0.00,0.00,90.00,8.00,1.00,0.00,1.00,general,90.00
proxygen\lib\utils\NullTraceEventObserver.h,0.00,0.00,0.00,99.00,0.00,1.00,0.00,0.00,general,99.00
proxygen\lib\utils\ParseURL.h,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\RendezvousHash.cpp,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\PerfectIndexMap.h,0.00,0.00,0.00,95.00,3.00,1.00,0.00,1.00,general,95.00
proxygen\lib\utils\RendezvousHash.h,0.00,5.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\StateMachine.h,0.00,0.00,0.00,95.00,4.00,0.00,1.00,0.00,general,95.00
proxygen\lib\utils\StreamDecompressor.h,0.00,0.00,0.00,15.00,85.00,0.00,0.00,0.00,http_general,85.00
proxygen\lib\utils\StreamCompressor.h,0.00,0.00,0.00,90.00,8.00,1.00,0.00,1.00,general,90.00
proxygen\lib\utils\TraceEventContext.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\TestUtils.h,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\Time.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\TraceEvent.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\UnionBasedStatic.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\TraceEvent.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\TraceEventContext.h,0.00,0.00,0.00,95.00,3.00,1.00,1.00,0.00,general,95.00
proxygen\lib\utils\TraceEventObserver.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\UtilInl.h,0.00,0.00,0.00,95.00,4.00,0.00,0.00,1.00,general,95.00
proxygen\lib\utils\URL.h,0.00,0.00,0.00,95.00,5.00,0.00,0.00,0.00,general,95.00
proxygen\lib\utils\WeakRefCountedPtr.h,0.00,0.00,0.00,95.00,3.00,1.00,1.00,0.00,general,95.00
proxygen\lib\utils\WheelTimerInstance.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\WheelTimerInstance.h,0.00,0.00,0.00,95.00,2.00,2.00,0.00,1.00,general,95.00
proxygen\lib\utils\ZlibStreamCompressor.cpp,0.00,0.00,0.00,99.00,1.00,0.00,0.00,0.00,general,99.00
proxygen\lib\utils\ZstdStreamCompressor.h,0.00,0.00,0.00,95.00,4.00,0.00,0.00,1.00,general,95.00
proxygen\lib\utils\ZlibStreamCompressor.h,0.00,0.00,0.00,98.00,1.00,0.00,0.00,0.00,general,98.00
proxygen\lib\utils\ZlibStreamDecompressor.h,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\ZlibStreamDecompressor.cpp,0.00,0.00,0.00,98.00,2.00,0.00,0.00,0.00,general,98.00
proxygen\lib\utils\ZstdStreamCompressor.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,None,0.00
proxygen\lib\utils\ZstdStreamDecompressor.cpp,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,general,100.00
proxygen\lib\utils\ZstdStreamDecompressor.h,0.00,0.00,0.00,95.00,4.00,0.00,0.00,1.00,general,95.00
