file_path,dp,IMBS,KDE,lb,LBSP,main,MultiLayer,PBAS,SigmaDelta,T2F,TwoPoints,ViBe,VuMeter,general,best_module,best_likelihood
bgslibrary\algorithms\LOBSTER.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\LBSimpleGaussian.cpp,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\LBFuzzyGaussian.h,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,95.00
bgslibrary\algorithms\MixtureOfGaussianV1.cpp,10.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,lb,90.00
bgslibrary\algorithms\LBSimpleGaussian.h,2.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,lb,95.00
bgslibrary\algorithms\LOBSTER.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\MultiLayer.cpp,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,95.00
bgslibrary\algorithms\MultiCue.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\PAWCS.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\MixtureOfGaussianV2.cpp,70.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,70.00
bgslibrary\algorithms\SigmaDelta.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,99.00
bgslibrary\algorithms\MixtureOfGaussianV2.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\MultiCue.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\PAWCS.h,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,100.00
bgslibrary\algorithms\MultiLayer.h,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,MultiLayer,100.00
bgslibrary\algorithms\MixtureOfGaussianV1.h,60.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,60.00
bgslibrary\algorithms\SigmaDelta.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,SigmaDelta,100.00
bgslibrary\algorithms\StaticFrameDifference.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,70.00,general,70.00
bgslibrary\algorithms\PixelBasedAdaptiveSegmenter.cpp,0.00,0.00,0.00,0.00,0.00,2.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,1.00,PBAS,95.00
bgslibrary\algorithms\T2FGMM_UM.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\PixelBasedAdaptiveSegmenter.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,0.00,0.00,0.00,PBAS,99.00
bgslibrary\algorithms\StaticFrameDifference.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\algorithms\SuBSENSE.h,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\SuBSENSE.cpp,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,LBSP,95.00
bgslibrary\algorithms\T2FGMM_UV.h,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\T2FMRF_UM.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\TwoPoints.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\T2FMRF_UV.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,T2F,90.00
bgslibrary\algorithms\T2FMRF_UM.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,T2F,100.00
bgslibrary\algorithms\T2FGMM_UV.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\T2FGMM_UM.h,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,0.00,0.00,0.00,0.00,T2F,90.00
bgslibrary\algorithms\ViBe.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,ViBe,99.00
bgslibrary\algorithms\TwoPoints.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,TwoPoints,100.00
bgslibrary\algorithms\VuMeter.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,VuMeter,100.00
bgslibrary\algorithms\ViBe.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,ViBe,100.00
bgslibrary\algorithms\T2FMRF_UV.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,T2F,95.00
bgslibrary\algorithms\WeightedMovingMean.h,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,95.00
bgslibrary\algorithms\WeightedMovingMean.cpp,90.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,90.00
bgslibrary\algorithms\WeightedMovingVariance.cpp,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,dp,85.00
bgslibrary\algorithms\VuMeter.cpp,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,2.00,VuMeter,95.00
bgslibrary\algorithms\WeightedMovingVariance.h,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\tools\ForegroundMaskAnalysis.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\tools\PerformanceUtils.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\tools\PerformanceUtils.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\tools\FuzzyUtils.h,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,5.00,T2F,85.00
bgslibrary\tools\ForegroundMaskAnalysis.h,0.00,0.00,0.00,0.00,0.00,10.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\tools\PixelUtils.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\tools\PixelUtils.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,general,100.00
bgslibrary\tools\FuzzyUtils.cpp,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,lb,50.00
bgslibrary\utils\GenericKeys.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\utils\ILoadSaveConfig.h,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,general,95.00
bgslibrary\utils\GenericMacros.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\Main.cpp,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,95.00
bgslibrary\VideoAnalysis.cpp,0.00,0.00,0.00,0.00,0.00,95.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,95.00
bgslibrary\FrameProcessor.cpp,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,main,85.00
bgslibrary\PreProcessor.cpp,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\VideoAnalysis.h,0.00,0.00,0.00,0.00,0.00,85.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,15.00,main,85.00
bgslibrary\VideoCapture.cpp,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,general,100.00
bgslibrary\VideoCapture.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,85.00,general,85.00
bgslibrary\PreProcessor.h,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,90.00,general,90.00
bgslibrary\IFrameProcessor.h,0.00,0.00,0.00,0.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,main,70.00
bgslibrary\FrameProcessor.h,5.00,2.00,1.00,1.00,0.00,70.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,20.00,main,70.00
